Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
60952,332.4554716,235.429835,0.706057518,62329,0.74359819,933.366,Kecimen
33565,261.5543311,167.7084908,0.767374275,35794,0.68155052,751.413,Kecimen
61251,301.5077895,273.6599414,0.419753707,64732,0.643595671,971.769,Kecimen
41809,307.5327392,175.085568,0.822113695,43838,0.697444367,828.697,Kecimen
49882,287.2643272,222.1858727,0.633851884,50880,0.766377827,843.764,Kecimen
41502,260.5126753,205.8650238,0.612809911,43114,0.824319225,790.427,Kecimen
47581,306.8118747,203.097502,0.749538262,49203,0.667775392,861.58,Kecimen
64717,342.5767105,245.7320369,0.696759162,66649,0.66254095,997.989,Kecimen
60449,383.8002498,208.1687832,0.840127895,64346,0.67634488,1054.198,Kecimen
47851,323.1525189,191.6109615,0.805244577,49187,0.773237024,860.402,Kecimen
39457,267.5569406,188.7651659,0.708695988,40472,0.697576154,755.822,Kecimen
38968,269.4020207,185.7275682,0.724374455,40147,0.737583283,769.242,Kecimen
55306,353.1546092,204.126836,0.816029801,57396,0.743990207,973.259,Kecimen
44367,322.5040186,176.7089727,0.836525515,46531,0.732999603,883.973,Kecimen
79532,367.5260058,277.2241619,0.656532102,81603,0.735114151,1075.271,Kecimen
55770,293.5806697,243.4806344,0.558731929,57633,0.740165631,900.109,Kecimen
57227,354.43108,207.5949862,0.810518333,59307,0.649981827,953.496,Kecimen
50445,308.3589121,208.8552452,0.735695738,51555,0.723225806,851.632,Kecimen
57980,336.312888,222.6097658,0.74958095,59311,0.777295152,925.795,Kecimen
41050,316.841636,167.3283344,0.849173815,42965,0.641185842,846.833,Kecimen
41283,268.1253606,199.6354013,0.667555617,42505,0.732383622,798.515,Kecimen
77161,394.2783917,253.21136,0.766524847,82746,0.671900035,1127.409,Kecimen
43461,333.7059198,169.3095334,0.861733321,45669,0.677934111,867.446,Kecimen
87036,384.9699031,289.4539006,0.659291894,88336,0.727896163,1094.59,Kecimen
59822,336.5840696,227.9495391,0.735758503,60648,0.700286801,916.044,Kecimen
61377,339.7334965,234.0242375,0.724907214,64027,0.705612526,975.553,Kecimen
62422,324.5569613,247.707867,0.646140518,64021,0.716062129,947.541,Kecimen
93559,438.6343535,275.5829735,0.777991385,95750,0.687069934,1198.259,Kecimen
52693,283.5042387,242.1139544,0.520265279,54860,0.737749216,895.745,Kecimen
44460,294.624132,197.5565774,0.741875489,47486,0.647425443,849.225,Kecimen
57676,333.9700499,222.2744566,0.746351424,58991,0.688668657,926.255,Kecimen
41755,296.7883761,184.1913772,0.784115281,43362,0.691330839,804.559,Kecimen
50649,327.1109948,199.5409197,0.792393852,52462,0.766294481,875.267,Kecimen
84057,452.7756953,245.2199818,0.840641076,86710,0.622017819,1179.024,Kecimen
79510,380.7191934,267.0341186,0.712773879,81779,0.73159735,1075.307,Kecimen
68129,381.1754896,230.0560205,0.79733001,70141,0.65970447,1050.867,Kecimen
69120,352.011403,250.8148535,0.701652699,70274,0.703439853,978.434,Kecimen
81456,404.3163937,258.8920062,0.768107985,83499,0.725472034,1103.153,Kecimen
44007,359.3755027,161.7023657,0.893051844,48490,0.644743975,901.17,Kecimen
57303,330.0249642,221.9197863,0.740157695,58973,0.716762355,919.044,Kecimen
66998,338.5866405,257.3438202,0.649860993,69844,0.757604541,1006.22,Kecimen
52836,340.4047822,204.3355331,0.799795765,55143,0.817388614,928.274,Kecimen
65740,348.8811561,245.9761755,0.709164675,69233,0.740815867,1036.517,Kecimen
88407,412.7569409,275.2848499,0.74510983,90865,0.717962253,1141.296,Kecimen
63402,372.4843101,224.0094059,0.798953455,66639,0.676634437,1008.276,Kecimen
56518,319.1919279,230.7099964,0.691063598,58879,0.718647085,916.396,Kecimen
65999,326.2987214,264.4148773,0.585951613,67971,0.676864225,998.793,Kecimen
66797,358.1989179,240.7826944,0.740366108,68732,0.697662517,1006.375,Kecimen
80353,394.340189,264.5790871,0.74151054,83419,0.668021782,1120.777,Kecimen
67852,353.1242534,247.3352308,0.713731082,69587,0.729512956,983.385,Kecimen
73311,391.8675067,239.6017637,0.791294159,74825,0.689966401,1046.52,Kecimen
58357,338.3209626,220.464395,0.758526041,59383,0.738172941,915.379,Kecimen
39275,274.0659935,185.4112735,0.736423765,40747,0.712562139,772.501,Kecimen
58570,355.3995375,214.5674661,0.797184383,60494,0.657557931,962.708,Kecimen
98485,387.7628358,325.7371661,0.54252098,100682,0.729864528,1193.908,Kecimen
59589,383.5712334,201.3818552,0.851091037,62974,0.684081829,1043.187,Kecimen
154242,585.9280742,337.5992453,0.817323783,158371,0.7216,1530.315,Besni
45051,323.5892546,180.0697373,0.830863512,46532,0.830632225,836.625,Besni
120255,471.8135294,326.5463364,0.721793107,123486,0.723886976,1322.814,Besni
189637,636.7524368,403.7193275,0.773309506,209580,0.613785469,1870.28,Besni
210923,984.0454912,367.2795321,0.927737116,278217,0.507352075,2697.753,Besni
146268,588.0092142,321.6079813,0.83716934,150416,0.695421481,1535.287,Besni
141220,575.6823646,316.6212427,0.835169296,144300,0.659151906,1507.939,Besni
80678,457.9252352,229.7035618,0.865089207,85201,0.607359562,1226.244,Besni
86715,440.4743232,254.3360345,0.816451523,89920,0.735371438,1173.259,Besni
163442,594.759221,351.4256873,0.806766406,167471,0.704685775,1621.959,Besni
77012,425.2194272,239.4695614,0.826343087,81325,0.654279767,1131.53,Besni
118988,483.3400048,315.2484647,0.758021814,122375,0.7844673,1356.398,Besni
68982,400.7368809,223.9076574,0.829342993,73278,0.728765213,1105.79,Besni
139399,522.4680098,348.2821616,0.745407081,144034,0.69363089,1471.508,Besni
155057,610.6779718,325.5076812,0.846098403,159681,0.761057039,1564.694,Besni
146175,592.9085046,319.0201112,0.842906798,149156,0.632833301,1529.068,Besni
126014,523.1863795,309.11683,0.806792408,130059,0.736226499,1396.906,Besni
109254,483.163737,289.8286843,0.800107952,111624,0.740102967,1293.225,Besni
152267,598.9676358,331.2490172,0.833159184,157353,0.594050406,1570.502,Besni
54321,395.01184,182.3239807,0.887105943,58632,0.625069042,1021.989,Besni
107895,462.0461305,300.5589867,0.759510001,110755,0.764047729,1277.791,Besni
137788,654.4702641,272.3013,0.909335484,141442,0.706431237,1562.268,Besni
90585,489.6477891,239.3502938,0.87238391,95774,0.672344689,1270.266,Besni
61123,329.3302205,257.2680933,0.624298597,70556,0.723263519,1128.077,Besni
77799,419.3385795,238.3432501,0.822766851,80688,0.648001,1114.454,Besni
69746,370.5604807,241.9144571,0.757501058,72724,0.71260281,1027.513,Besni
81480,434.1002588,242.7017513,0.829105982,84581,0.674012309,1162.37,Besni
182823,700.0084625,337.7066668,0.87593328,190749,0.698891395,1789.254,Besni
128442,585.9819941,281.6014086,0.876960072,133704,0.750683811,1499.355,Besni
129292,614.5474258,270.0854905,0.898249041,133475,0.689689754,1531.744,Besni
86852,456.4786879,248.6068692,0.838683717,90550,0.607853978,1207.534,Besni
135036,582.6875226,301.5684879,0.85565446,139124,0.634567669,1509.374,Besni
204226,648.2042885,402.2832708,0.784117922,207198,0.773987918,1724.662,Besni
110527,514.5888486,275.5833551,0.844509317,114538,0.689698853,1360.821,Besni
113046,548.9408354,265.3050959,0.8754528,116819,0.677181674,1385.645,Besni
122617,503.6875762,322.6225172,0.767940576,131499,0.643253594,1429.352,Besni
102944,477.1675089,277.2224874,0.813921262,108053,0.715684093,1339.098,Besni
182122,620.4872195,376.4886055,0.794882897,187560,0.721829842,1695.23,Besni
132116,519.6799838,325.3324878,0.779803256,133811,0.745071058,1393.335,Besni
134913,639.6015714,273.092077,0.904264761,139500,0.73672628,1535.248,Besni
88747,425.0072805,268.6684637,0.774845821,92317,0.761312848,1184.156,Besni
102960,522.3810484,252.36543,0.875561861,105956,0.741658503,1311.161,Besni
138202,556.9819072,318.2528014,0.820680026,143228,0.697215215,1576.336,Besni
90675,426.2364248,275.2870726,0.763459806,92030,0.740107415,1163.021,Besni
78632,407.9403285,245.8211977,0.798050128,79715,0.689010979,1068.727,Besni
117354,520.3266122,289.6619857,0.83071856,121057,0.712064948,1374.171,Besni
106897,481.7946852,288.6600202,0.80064808,109314,0.715983148,1284.69,Besni
48488,275.3377168,226.802199,0.566991437,50103,0.669594277,859.326,Besni
68510,348.4009519,252.9930044,0.687531298,70513,0.670877399,1028.839,Besni
168269,614.3804322,353.4662998,0.817927331,173527,0.756241377,1641.456,Besni
189069,679.4893072,357.0472563,0.850815756,195810,0.612143209,1831.909,Besni
67468,424.563654,207.8230517,0.87200443,70674,0.611693881,1105.042,Besni
105091,507.6851162,268.0873433,0.849208116,108296,0.700270537,1295.591,Besni
82632,471.3667164,227.3931825,0.875944181,87501,0.633078974,1243.987,Besni
94282,494.16296,244.8038886,0.868670102,97707,0.702386185,1269.68,Besni
83248,430.0773077,247.8386945,0.817262582,85839,0.66879293,1129.072,Besni